ID,1,2
Bereriina,10,1
Csq_bst,10,1
CuteLanGou,10,1
JaqEst,10,1
Saionji_Yuren_,10,1
wsy95,10,1
AzurDream07,15,1
Fiammetta__,15,1
KMS_Mainz,15,1
NicoYazawa_,15,1
moyu_exp,15,1
wangchuan321,15,1
BroadHen6241389,20,1
Ice_maplc,20,1
Izumi_gd,20,1
Mika_SPCT,20,1
SchrodingCats,20,1
Tokino_Fubuki,20,1
123_Kohaku,10,1
Hayase_Inori,10,1
MeaNoSaifuDesu,10,1
Turing2002,10,1
YoyisakiKnd,10,1
simianti,10,1
BaiQY,15,1
Kinomotomoyo,15,1
LiIci111,15,1
Muriya_Tensei,15,1
Nemo_Petrichor,15,1
sddg2333,15,1
Anki_Kaze,20,0
Misaka10001,20,0
Thehuantian,20,0
XiuMaGo,20,0
moehikali,20,0
wwhsQWQ,20,0
Anainai99,10,0
Nolmik,10,0
YiMi2222,10,0
cui_cui_sha,10,0
dsegvwwgv,10,0
yunchuyan,10,0
ApertureG,20,1
BlingWang,20,1
Ghost_wh1026,20,1
SunGela,20,1
Wwater_,20,1
ayanami7,20,1
Aqua_kuma,20,1
Dao_Mouse,20,1
LOFeng,20,1
Rimo,20,1
YorushiroLen,20,1
lvdouhhh,20,1
Aaaaapfelmus,20,1
Akitsuki4852,20,1
Kingtion,20,1
NAGISAKI_MINATO,20,1
nopezombie,20,1
LuoTianyi_Master,20,1
Murisa_alex,20,1
Nihsil,20,1
Rain60w,20,1
ShaNaPrPr,20,1
XiaShiHua,20,1
Azur_BlackPrince,20,1
Azur_KingGeorgeV,20,1
Azur_Shiratsuyu,20,1
G_G_Ge,20,1
QZJSG,20,1
_AyaNyaMew_,20,1
Alrecue,20,0
Liu233,20,0
XiaoBaiYo,20,0
YukiGeZi,20,0
nakiri_asagao,20,0
wwIce,20,0
ChuXuan_windy,20,0
Azur_Bismarck,20,0
Trump15,20,0
Dubhe_ltq,20,0
KagurazakaKano,20,0
WhispersMK,20,0
Infarn,20,0
lv0721,20,0
kongmulingyun,20,0
sby007,20,0
luyunsumu,20,0
Ciallo0721,20,0
Koishimeow,20,0
Komeiji_Teriri,20,0
LucidBrick,20,0
Sandiego_CL53,20,0
ScroogeRainS,20,0
pop_ray,20,0
LK9T,20,0
Putr1dC,20,0
SKSIAA,20,0
XiaoShou_ovo,20,0
mONESYandNiKo,20,0
todies,20,0
Azur_Formidable,20,0
Independence_22,20,0
Laqua57,20,0
_YUDACHI_poi,20,0
__Venezia__,20,0
forst_candy,20,0
23333qa,17,0
Akasim14375,17,0
Fan_Wei,17,0
MarsJunQi,17,0
YeXiaoSsaMaa,17,0
ZoMaii,17,0
KanoDesu,7,0
NXPSKY,7,0
Pawley_Fish,7,0
StrawCargo233,7,0
_cancan_,7,0
jiajiunia,7,0
AOAA330,15,0
Asia_Huyu,15,0
EssentialSource,15,0
SC_HYDD,15,0
0xcybird,15,0
uO_xiren,15,0
Entor_DAZE,7,0
NagasakiSoyo_Rin,7,0
Te_amo_Ying,7,0
_ANNN_,7,0
debi_debiru,7,0
wyy_233_,7,0
huaniaofengyue_,1,0
